rank,name,link,img_link,Studios,Source,Genres,Popularity,Favorites,type,date,members,score,Watching,Completed,On-Hold,Dropped,Plan_to_Watch,Total,eps,Action,Military,Adventure,Comedy,Drama,Magic,Fantasy,Shounen,Thriller,Sci-Fi,Historical,Parody,Samurai,Super Power,Space,Mystery,Game,Seinen,Slice of Life,School,Romance,Supernatural,Vampire,Mecha,Sports,Psychological,Josei,Music,Horror,Police,Martial Arts,Demons,Shoujo,Dementia,Harem,Ecchi,Shounen Ai,Cars,Kids,Shoujo Ai
115,Perfect Blue,https://myanimelist.net/anime/437/Perfect_Blue,https://cdn.myanimelist.net/r/100x140/images/anime/11/79127.jpg?s=166dd4a3dd2f6145f4a6bbe5e9fd8472,Madhouse,Novel,"['Dementia', 'Drama', 'Horror', 'Psychological']",356,8544,Movie,Feb 1998 - Feb 1998,343962,8.45,6725,225844,2204,937,110987,346697,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0
116,Shingeki no Kyojin,https://myanimelist.net/anime/16498/Shingeki_no_Kyojin,https://cdn.myanimelist.net/r/100x140/images/anime/10/47347.jpg?s=c0158a943fa688ba91aec8de995f21e4,Wit Studio,Manga,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",2,107442,TV,Apr 2013 - Sep 2013,2238536,8.45,122307,1929640,35618,43271,114991,2245827,25,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
117,Tenki no Ko,https://myanimelist.net/anime/38826/Tenki_no_Ko,https://cdn.myanimelist.net/r/100x140/images/anime/1880/101146.jpg?s=22c6eed55cfdb8f241e7a014fe705c0f,CoMix Wave Films,Original,"['Slice of Life', 'Drama', 'Romance', 'Fantasy']",306,6499,Movie,Jul 2019 - Jul 2019,387846,8.45,11892,247471,2381,537,125522,387803,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
118,Ano Hi Mita Hana no Namae wo Bokutachi wa Mada Shiranai.,https://myanimelist.net/anime/9989/Ano_Hi_Mita_Hana_no_Namae_wo_Bokutachi_wa_Mada_Shiranai,https://cdn.myanimelist.net/r/100x140/images/anime/5/79697.jpg?s=8b586787a737362e9be402cc21c3209a,A-1 Pictures,Original,"['Slice of Life', 'Supernatural', 'Drama']",51,29110,TV,Apr 2011 - Jun 2011,1065580,8.45,33634,802708,17403,12128,203004,1068877,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
119,Koukaku Kidoutai: Stand Alone Complex,https://myanimelist.net/anime/467/Koukaku_Kidoutai__Stand_Alone_Complex,https://cdn.myanimelist.net/r/100x140/images/anime/11/50857.jpg?s=60fcf63979f5b92b3653790d51c15dc9,Production I.G,Manga,"['Action', 'Military', 'Sci-Fi', 'Police', 'Mecha', 'Seinen']",391,7996,TV,Oct 2002 - Oct 2003,316725,8.45,16996,167233,15697,8157,109131,317214,26,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
120,Nana,https://myanimelist.net/anime/877/Nana,https://cdn.myanimelist.net/r/100x140/images/anime/2/11232.jpg?s=334cc9f98f86878b24f8e68d98bb577a,Madhouse,Manga,"['Music', 'Slice of Life', 'Comedy', 'Drama', 'Romance', 'Shoujo']",320,15736,TV,Apr 2006 - Mar 2007,373892,8.45,24497,175935,20933,17922,135937,375224,47,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
121,3-gatsu no Lion,https://myanimelist.net/anime/31646/3-gatsu_no_Lion,https://cdn.myanimelist.net/r/100x140/images/anime/6/82898.jpg?s=41f81d56c96c8f13457cc3a1cd4fc6bb,Shaft,Manga,"['Drama', 'Game', 'Seinen', 'Slice of Life']",282,10224,TV,Oct 2016 - Mar 2017,416774,8.44,42931,189145,22998,14491,148186,417751,22,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
122,Chihayafuru 2,https://myanimelist.net/anime/14397/Chihayafuru_2,https://cdn.myanimelist.net/r/100x140/images/anime/6/47435.jpg?s=940eba00394dd2f3eb2459c670a6ed29,Madhouse,Manga,"['Drama', 'Game', 'Josei', 'School', 'Slice of Life', 'Sports']",786,1574,TV,Jan 2013 - Jun 2013,174723,8.44,7311,121796,4397,2598,38892,174994,25,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
123,Cross Game,https://myanimelist.net/anime/5941/Cross_Game,https://cdn.myanimelist.net/r/100x140/images/anime/6/22103.jpg?s=9a00c905e04b5b454a31915121c7022d,SynergySP,Manga,"['Comedy', 'Drama', 'Romance', 'School', 'Shounen', 'Sports']",1354,2673,TV,Apr 2009 - Mar 2010,97037,8.44,5120,46977,3972,3340,37774,97183,50,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,Gintama: Yorinuki Gintama-san on Theater 2D,https://myanimelist.net/anime/21899/Gintama__Yorinuki_Gintama-san_on_Theater_2D,https://cdn.myanimelist.net/r/100x140/images/anime/1172/90571.jpg?s=c93e5830190cc7d37d9bfef013ae6d96,Sunrise,Manga,"['Action', 'Sci-Fi', 'Comedy', 'Historical', 'Parody', 'Samurai', 'Shounen']",2875,51,Movie,Aug 2012 - Aug 2012,29976,8.44,887,16999,480,451,11231,30048,2,1,0,0,1,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
125,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,https://myanimelist.net/anime/37999/Kaguya-sama_wa_Kokurasetai__Tensai-tachi_no_Renai_Zunousen,https://cdn.myanimelist.net/r/100x140/images/anime/1295/106551.jpg?s=3cfd1c01e51491d6202d581a8ac864ab,A-1 Pictures,Manga,"['Comedy', 'Psychological', 'Romance', 'School', 'Seinen']",96,18637,TV,Jan 2019 - Mar 2019,778308,8.44,63773,566525,14385,13171,122490,780344,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
126,Kara no Kyoukai 7: Satsujin Kousatsu (Go),https://myanimelist.net/anime/5205/Kara_no_Kyoukai_7__Satsujin_Kousatsu_Go,https://cdn.myanimelist.net/r/100x140/images/anime/9/56619.jpg?s=796855d5e592b0a7fc091b541d5b1fed,ufotable,Light novel,"['Action', 'Mystery', 'Supernatural', 'Romance', 'Thriller']",874,1798,Movie,Aug 2009 - Aug 2009,158890,8.44,2842,112308,1514,551,41898,159113,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,Mahou Shoujo Madoka★Magica Movie 3: Hangyaku no Monogatari,https://myanimelist.net/anime/11981/Mahou_Shoujo_Madoka★Magica_Movie_3__Hangyaku_no_Monogatari,https://cdn.myanimelist.net/r/100x140/images/anime/5/54231.jpg?s=0e59a78062d55d952b04c8bec44712f8,Shaft,Original,"['Mystery', 'Psychological', 'Drama', 'Magic', 'Thriller']",470,7967,Movie,Oct 2013 - Oct 2013,275161,8.44,3989,210631,1885,998,58079,275582,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,Usagi Drop,https://myanimelist.net/anime/10162/Usagi_Drop,https://cdn.myanimelist.net/r/100x140/images/anime/2/29665.jpg?s=c0a02978fc28b099b440a2db5c90893e,Production I.G,Manga,"['Josei', 'Slice of Life']",319,5610,TV,Jul 2011 - Sep 2011,375286,8.44,13948,233016,8563,5235,115108,375870,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
129,Yuu☆Yuu☆Hakusho,https://myanimelist.net/anime/392/Yuu☆Yuu☆Hakusho,https://cdn.myanimelist.net/r/100x140/images/anime/8/25152.jpg?s=71b98bf1ee0652c8d95bbfd5616d23cf,Studio Pierrot,Manga,"['Action', 'Comedy', 'Demons', 'Supernatural', 'Martial Arts', 'Shounen']",260,16689,TV,Oct 1992 - Jan 1995,440607,8.44,44470,240982,35960,16988,103692,442092,112,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
130,Kono Oto Tomare! 2nd Season,https://myanimelist.net/anime/38889/Kono_Oto_Tomare_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1737/110191.jpg?s=503ccbb0d89e7bac74903a1a5a3e8d1a,Platinum Vision,Manga,"['Drama', 'Music', 'Romance', 'School', 'Shounen']",1737,808,TV,Oct 2019 - Dec 2019,70043,8.43,5326,44655,1307,853,18087,70228,13,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
131,Baccano!,https://myanimelist.net/anime/2251/Baccano,https://cdn.myanimelist.net/r/100x140/images/anime/3/14547.jpg?s=16ff9358e650ea522a9d216960849cea,Brain's Base,Light novel,"['Action', 'Comedy', 'Historical', 'Mystery', 'Supernatural']",119,21218,TV,Jul 2007 - Nov 2007,675456,8.42,33548,349575,28875,17483,247476,676957,13,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,Barakamon,https://myanimelist.net/anime/22789/Barakamon,https://cdn.myanimelist.net/r/100x140/images/anime/12/65427.jpg?s=738114514487aae7d0eadfeec6e9cdb9,Kinema Citrus,Web manga,"['Comedy', 'Slice of Life']",221,10331,TV,Jul 2014 - Sep 2014,478914,8.42,23324,312315,13748,7691,122476,479554,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,Gintama°: Aizome Kaori-hen,https://myanimelist.net/anime/32366/Gintama°__Aizome_Kaori-hen,https://cdn.myanimelist.net/r/100x140/images/anime/8/79704.jpg?s=20a6d06f02944054608584b82f6781d1,Bandai Namco Pictures,Manga,"['Comedy', 'Parody']",2019,133,OVA,Aug 2016 - Nov 2016,55763,8.42,2535,37951,701,465,14200,55852,2,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,Haikyuu!!: To the Top,https://myanimelist.net/anime/38883/Haikyuu__To_the_Top,https://cdn.myanimelist.net/r/100x140/images/anime/1813/105367.jpg?s=1e4fe839c28041391d0445da90e4f076,Production I.G,Manga,"['Comedy', 'Sports', 'Drama', 'School', 'Shounen']",328,3440,TV,Jan 2020 - Apr 2020,368108,8.42,49021,244162,4953,1375,69991,369502,13,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,Houseki no Kuni (TV),https://myanimelist.net/anime/35557/Houseki_no_Kuni_TV,https://cdn.myanimelist.net/r/100x140/images/anime/3/88293.jpg?s=f7f06635785fb8d10f91e6bc33a8a5d7,Orange,Manga,"['Action', 'Drama', 'Fantasy', 'Mystery', 'Seinen']",453,8094,TV,Oct 2017 - Dec 2017,284060,8.42,17616,146616,6851,6483,106831,284397,12,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,Hunter x Hunter,https://myanimelist.net/anime/136/Hunter_x_Hunter,https://cdn.myanimelist.net/r/100x140/images/anime/8/19473.jpg?s=5f57ded49df3ddde5ed3b1c958b51d82,Nippon Animation,Manga,"['Action', 'Adventure', 'Super Power', 'Fantasy', 'Shounen']",316,8792,TV,Oct 1999 - Mar 2001,379922,8.42,24850,241926,13972,13854,86988,381590,62,1,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,Kingdom 3rd Season,https://myanimelist.net/anime/40682/Kingdom_3rd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1723/109872.jpg?s=1b3a16e7944a1b243fb115a56654d2e3,Studio Signpost,Manga,"['Action', 'Historical', 'Military', 'Seinen']",2721,332,TV,Apr 2020 -,33266,8.42,13555,4,2007,507,17192,33265,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
138,Kiseijuu: Sei no Kakuritsu,https://myanimelist.net/anime/22535/Kiseijuu__Sei_no_Kakuritsu,https://cdn.myanimelist.net/r/100x140/images/anime/3/73178.jpg?s=daf3a017bb43d7dc8afefd5f8588da71,Madhouse,Manga,"['Action', 'Sci-Fi', 'Horror', 'Psychological', 'Drama', 'Seinen']",42,24679,TV,Oct 2014 - Mar 2015,1141883,8.42,62987,868252,27628,19930,165978,1144775,24,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
139,Mo Dao Zu Shi 2nd Season,https://myanimelist.net/anime/38450/Mo_Dao_Zu_Shi_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/1404/106707.jpg?s=f76d0060785dbb8308e3ff49901932c5,B.CMAY PICTURES,Novel,"['Action', 'Mystery', 'Historical', 'Supernatural']",2254,778,ONA,Aug 2019 - Sep 2019,46664,8.42,4181,23410,819,529,17847,46786,8,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
140,Mononoke,https://myanimelist.net/anime/2246/Mononoke,https://cdn.myanimelist.net/r/100x140/images/anime/3/20713.jpg?s=2e49da1da5b2194f5b948d5b4ca9e490,Toei Animation,Original,"['Mystery', 'Historical', 'Horror', 'Demons', 'Psychological', 'Supernatural', 'Fantasy', 'Seinen']",685,5284,TV,Jul 2007 - Sep 2007,197462,8.42,12601,66960,8510,4575,105496,198142,12,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0
141,Zoku Owarimonogatari,https://myanimelist.net/anime/36999/Zoku_Owarimonogatari,https://cdn.myanimelist.net/r/100x140/images/anime/1022/96168.jpg?s=aef505e1acb648025ad9bf4e87ea31cd,Shaft,Light novel,"['Mystery', 'Comedy', 'Supernatural', 'Vampire']",1028,655,Movie,Nov 2018 - Nov 2018,134248,8.42,4901,68898,1464,488,58747,134498,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
142,Violet Evergarden Gaiden: Eien to Jidou Shuki Ningyou,https://myanimelist.net/anime/39741/Violet_Evergarden_Gaiden__Eien_to_Jidou_Shuki_Ningyou,https://cdn.myanimelist.net/r/100x140/images/anime/1425/102304.jpg?s=9b03931e2ff6770e05eb87ae329aaf93,Kyoto Animation,Light novel,"['Slice of Life', 'Drama', 'Fantasy']",933,573,Movie,Sep 2019 - Sep 2019,148534,8.41,3688,93137,1066,304,50883,149078,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
143,Bakuman. 2nd Season,https://myanimelist.net/anime/10030/Bakuman_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/3/34923.jpg?s=6bbb96324a26a4c064e7521d3c807667,J.C.Staff,Manga,"['Comedy', 'Drama', 'Romance', 'Shounen']",464,1335,TV,Oct 2011 - Mar 2012,277444,8.41,9464,212365,6270,3618,46180,277897,25,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
144,Grand Blue,https://myanimelist.net/anime/37105/Grand_Blue,https://cdn.myanimelist.net/r/100x140/images/anime/1302/94882.jpg?s=135f8c45d3231ee6c08a9cb4b26250f5,Zero-G,Manga,"['Slice of Life', 'Comedy', 'Seinen']",327,8277,TV,Jul 2018 - Sep 2018,369171,8.41,26815,230514,9393,11571,91691,369984,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
145,Hellsing Ultimate,https://myanimelist.net/anime/777/Hellsing_Ultimate,https://cdn.myanimelist.net/r/100x140/images/anime/6/7333.jpg?s=5e2576f54de313504134219006b3175a,Madhouse,Manga,"['Action', 'Military', 'Horror', 'Supernatural', 'Vampire', 'Seinen']",133,17378,OVA,Feb 2006 - Dec 2012,636822,8.41,59371,382665,34083,16181,146264,638564,10,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
146,Kaze no Tani no Nausicaä,https://myanimelist.net/anime/572/Kaze_no_Tani_no_Nausicaä,https://cdn.myanimelist.net/r/100x140/images/anime/10/75914.jpg?s=8465f3e1b4e5a8b7a7665d9d99d94010,Studio Hibari,Manga,"['Adventure', 'Fantasy']",493,3730,Movie,Mar 1984 - Mar 1984,263770,8.41,2920,212872,1459,741,46415,264407,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
147,Kizumonogatari I: Tekketsu-hen,https://myanimelist.net/anime/9260/Kizumonogatari_I__Tekketsu-hen,https://cdn.myanimelist.net/r/100x140/images/anime/11/80621.jpg?s=c6b0556668fb8c616c31684600c886ba,Shaft,Light novel,['Vampire'],350,2291,Movie,Jan 2016 - Jan 2016,345871,8.41,7725,224114,2168,1094,111874,346975,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
148,Natsume Yuujinchou Movie: Utsusemi ni Musubu,https://myanimelist.net/anime/36538/Natsume_Yuujinchou_Movie__Utsusemi_ni_Musubu,https://cdn.myanimelist.net/r/100x140/images/anime/1250/94846.jpg?s=6bfad8fc3fc9e289257266cf20e22c0b,Shuka,Manga,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",2428,156,Movie,Sep 2018 - Sep 2018,41110,8.41,1224,16842,406,194,22517,41183,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
149,Natsume Yuujinchou Roku Specials,https://myanimelist.net/anime/36275/Natsume_Yuujinchou_Roku_Specials,https://cdn.myanimelist.net/r/100x140/images/anime/10/87615.jpg?s=5bb8c465e025138f70857a86f7e67042,Shuka,Manga,"['Slice of Life', 'Demons', 'Supernatural', 'Drama', 'Shoujo']",2869,58,Special,Sep 2017 - Oct 2017,30212,8.41,1410,18395,496,223,9731,30255,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
150,Banana Fish,https://myanimelist.net/anime/36649/Banana_Fish,https://cdn.myanimelist.net/r/100x140/images/anime/1190/93472.jpg?s=f9b6cf0ae178bb3075023f6d36c96715,MAPPA,Manga,"['Action', 'Adventure', 'Drama', 'Shoujo']",374,11782,TV,Jul 2018 - Dec 2018,327790,8.4,38848,140608,16235,16355,117049,329095,24,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
151,Hotarubi no Mori e,https://myanimelist.net/anime/10408/Hotarubi_no_Mori_e,https://cdn.myanimelist.net/r/100x140/images/anime/8/38229.jpg?s=1f4a86e5787c7152641521babb470f6b,Brain's Base,Manga,"['Drama', 'Romance', 'Shoujo', 'Supernatural']",197,8163,Movie,Sep 2011 - Sep 2011,519709,8.4,10957,371818,2859,769,134857,521260,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
152,Jujutsu Kaisen (TV),https://myanimelist.net/anime/40748/Jujutsu_Kaisen_TV,https://cdn.myanimelist.net/r/100x140/images/anime/1171/109222.jpg?s=d5f93547fb6fd4d63dffe58223c77723,MAPPA,Manga,"['Action', 'Horror', 'Demons', 'Supernatural', 'School', 'Shounen']",370,4506,TV,Oct 2020 -,328784,8.4,232345,83,3008,1412,91889,328737,24,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
153,Kingdom 2nd Season,https://myanimelist.net/anime/17389/Kingdom_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/13/53589.jpg?s=990012fe084083bb61d377ed9bd529af,Studio Pierrot,Manga,"['Action', 'Military', 'Historical', 'Seinen']",1656,681,TV,Jun 2013 - Mar 2014,75199,8.4,4067,45125,1421,1272,23443,75328,39,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,https://myanimelist.net/anime/37450/Seishun_Buta_Yarou_wa_Bunny_Girl_Senpai_no_Yume_wo_Minai,https://cdn.myanimelist.net/r/100x140/images/anime/1301/93586.jpg?s=4359e10d91c7222ddbbe7f83f3a3a851,CloverWorks,Light novel,"['Comedy', 'Supernatural', 'Drama', 'Romance', 'School']",94,24747,TV,Oct 2018 - Dec 2018,788389,8.4,64150,567803,15456,14576,128788,790773,13,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,Shingeki no Kyojin Season 2,https://myanimelist.net/anime/25777/Shingeki_no_Kyojin_Season_2,https://cdn.myanimelist.net/r/100x140/images/anime/4/84177.jpg?s=a7c4462cf6f5458a8b28496a75863876,Wit Studio,Manga,"['Action', 'Military', 'Mystery', 'Super Power', 'Drama', 'Fantasy', 'Shounen']",21,14309,TV,Apr 2017 - Jun 2017,1350007,8.4,67917,1109580,14910,12512,149635,1354554,12,1,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,Psycho-Pass,https://myanimelist.net/anime/13601/Psycho-Pass,https://cdn.myanimelist.net/r/100x140/images/anime/5/43399.jpg?s=ea3c3abf36a3400fd3c537769da8d666,Production I.G,Original,"['Action', 'Sci-Fi', 'Police', 'Psychological']",41,33333,TV,Oct 2012 - Mar 2013,1142254,8.39,78116,686148,50547,33903,295946,1144660,22,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
157,Boku dake ga Inai Machi,https://myanimelist.net/anime/31043/Boku_dake_ga_Inai_Machi,https://cdn.myanimelist.net/r/100x140/images/anime/10/77957.jpg?s=1d945ebe55885ddb8878a3c61a1e1673,A-1 Pictures,Manga,"['Mystery', 'Psychological', 'Supernatural', 'Seinen']",27,34230,TV,Jan 2016 - Mar 2016,1231977,8.39,50191,968402,14051,10824,191444,1234912,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,Boku no Hero Academia 2nd Season,https://myanimelist.net/anime/33486/Boku_no_Hero_Academia_2nd_Season,https://cdn.myanimelist.net/r/100x140/images/anime/12/85221.jpg?s=7a6077ab23d48745083bfc8fa8ea2f19,Bones,Manga,"['Action', 'Comedy', 'Super Power', 'School', 'Shounen']",15,18104,TV,Apr 2017 - Sep 2017,1436237,8.39,107174,1227952,14238,9792,80275,1439431,25,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,Cowboy Bebop: Tengoku no Tobira,https://myanimelist.net/anime/5/Cowboy_Bebop__Tengoku_no_Tobira,https://cdn.myanimelist.net/r/100x140/images/anime/1439/93480.jpg?s=b341453eb8fc7caea68cbb0257a47c06,Bones,Original,"['Action', 'Drama', 'Mystery', 'Sci-Fi', 'Space']",503,1100,Movie,Sep 2001 - Sep 2001,259584,8.39,3873,199642,1814,728,54215,260272,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,Great Pretender,https://myanimelist.net/anime/40052/Great_Pretender,https://cdn.myanimelist.net/r/100x140/images/anime/1418/107954.jpg?s=4136fbee5a896a7c4b4ee7ac976c4937,Wit Studio,Original,"['Action', 'Adventure', 'Mystery', 'Comedy', 'Psychological']",801,2014,ONA,Jun 2020 - Sep 2020,172511,8.39,58130,42015,9019,2703,60665,172532,23,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,Kamisama Hajimemashita: Kako-hen,https://myanimelist.net/anime/30709/Kamisama_Hajimemashita__Kako-hen,https://cdn.myanimelist.net/r/100x140/images/anime/3/81250.jpg?s=fec6ba3277d36b5e0c2e94e455ac6864,TMS Entertainment,Manga,"['Comedy', 'Demons', 'Supernatural', 'Romance', 'Fantasy', 'Shoujo']",1243,826,OVA,Aug 2015 - Aug 2016,108373,8.39,7462,72514,2111,1053,25411,108551,4,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
162,Mahou Shoujo Madoka★Magica Movie 2: Eien no Monogatari,https://myanimelist.net/anime/11979/Mahou_Shoujo_Madoka★Magica_Movie_2__Eien_no_Monogatari,https://cdn.myanimelist.net/r/100x140/images/anime/6/42265.jpg?s=6f2e3b2943d2371d6058edf88672adb6,Shaft,Original,"['Drama', 'Magic', 'Psychological', 'Thriller']",882,1059,Movie,Oct 2012 - Oct 2012,156557,8.39,2067,113254,1133,831,39485,156770,1,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
